4096 24576
79 915 3
79 2886 6
79 236 3
79 1390 10
79 2523 8
79 1386 10
79 3340 2
79 4047 7
79 303 8
79 230 2
80 2390 8
80 1983 5
80 2897 2
80 3922 3
80 954 3
81 3004 4
81 3912 10
81 393 1
81 1768 3
81 2783 2
81 1522 6
81 4055 8
82 3429 6
82 3884 2
82 25 6
82 3606 3
82 3813 7
82 2176 9
82 2774 10
82 2829 1
83 2858 7
83 3722 8
83 1468 6
83 1208 5
83 3466 7
83 446 2
83 1824 4
83 4056 8
83 1036 5
84 985 4
84 2979 3
84 3919 6
84 479 3
85 3896 5
85 128 3
85 2928 9
85 1208 1
85 1356 10
85 928 10
85 787 5
85 3418 6
85 421 8
85 1985 3
86 2218 3
86 3452 1
86 2255 3
86 405 7
86 3265 4
86 2763 4
86 641 10
86 3202 1
86 3754 8
87 1949 3
87 3120 10
87 2017 9
87 1932 9
87 2302 9
88 2060 9
88 773 5
88 3294 1
88 2044 2
88 2277 10
89 3755 10
89 3620 6
89 69 6
89 2237 4
89 3696 3
89 2141 7
89 1698 7
90 2629 7
90 2951 1
90 1211 8
91 3830 3
91 1858 3
91 2153 10
92 2512 9
92 3088 10
93 3996 3
93 423 8
93 584 7
93 383 10
93 2355 1
93 2140 5
94 954 4
94 99 4
94 1575 4
94 2552 2
94 405 4
94 1175 10
94 1124 10
94 3839 8
95 1711 6
95 3475 8
95 1104 5
96 2724 4
96 1185 4
96 1081 9
96 2892 8
97 1177 10
97 2260 8
97 1362 1
97 1979 3
97 2161 4
98 3940 7
98 694 3
98 254 1
98 966 6
98 3083 5
98 920 6
98 3555 6
98 1233 6
98 947 6
98 3804 6
98 1611 2
99 951 1
99 3524 10
99 94 4
99 3332 5
99 3542 10
99 152 7
99 289 1
99 539 9
100 566 10
100 3745 8
100 2949 10
100 2114 8
100 2206 1
100 364 5
100 3081 4
101 2286 9
101 3450 1
101 2703 10
101 5 7
101 1851 3
102 2618 6
102 1958 1
102 550 3
102 2220 3
102 375 7
102 3322 10
102 3901 10
103 2296 4
103 732 1
103 3721 8
103 3064 1
104 3315 5
104 2066 10
104 2566 7
104 593 10
104 36 10
104 1177 2
104 2225 9
105 1485 8
105 392 6
105 3144 7
105 2170 5
105 2052 5
105 1235 7
106 801 2
106 3439 1
106 2565 9
106 3646 7
106 893 3
107 1991 3
107 2220 1
107 1540 5
107 1493 4
108 3384 5
108 1115 4
108 488 6
108 568 8
108 1240 3
109 4030 2
109 3376 2
109 3660 1
109 2790 5
110 3528 8
110 1131 10
110 1932 7
110 2690 10
110 3852 7
110 2833 3
110 785 1
110 705 10
111 2183 9
111 3411 6
111 2966 6
111 2765 1
111 3756 1
111 199 4
111 817 3
111 3221 1
112 1154 9
112 1610 9
112 1224 6
112 3511 6
112 3245 5
112 75 3
112 1353 8
112 2848 7
112 2353 4
112 268 10
113 374 8
113 2591 9
114 2501 8
114 953 5
114 2335 3
114 1304 1
114 407 1
115 1556 9
115 2965 3
115 1263 7
115 2258 4
115 138 3
116 1237 5
116 1719 6
116 1272 6
116 1867 6
116 3052 9
116 2829 10
117 515 10
117 1874 9
117 1699 8
118 3351 2
118 1303 10
118 2853 9
118 866 6
118 3533 1
119 895 2
119 2287 9
119 1954 9
119 3352 9
119 3760 2
119 1026 9
119 2074 6
119 1529 4
119 868 2
120 3551 9
120 3603 8
120 1589 3
120 2230 3
120 1141 7
120 3914 8
120 3396 3
120 1997 6
120 898 10
120 3176 8
121 3063 7
121 2957 5
121 194 10
121 2959 2
121 1616 9
121 686 1
121 921 9
122 2578 10
122 3986 4
122 2293 3
122 2529 6
122 722 7
122 1783 3
122 594 1
123 2188 7
123 1317 6
123 992 1
123 2754 3
123 3113 7
123 205 4
123 3815 5
123 3076 8
123 1205 9
124 1703 4
124 3901 4
124 1627 8
125 2490 6
125 524 4
125 4031 10
125 3070 1
126 4004 9
126 652 8
126 891 8
126 765 2
126 248 9
126 836 4
126 2567 7
126 1083 8
126 1743 7
127 3716 7
127 2978 9
127 2097 6
127 3205 10
127 310 4
127 907 4
128 2378 6
128 85 3
128 1268 1
128 1250 4
128 1745 4
128 3608 4
128 948 6
128 3799 2
128 552 4
128 2391 9
129 758 7
129 2703 6
129 2951 6
129 2674 5
129 3839 2
129 1778 4
129 3064 8
130 2392 7
130 1312 9
130 798 6
130 391 5
131 3602 3
131 1346 7
131 2819 7
131 3549 2
131 476 8
131 1661 5
131 2335 8
131 963 5
132 3882 4
132 2778 6
132 521 9
132 353 4
133 1534 2
133 3229 1
133 2011 3
133 3422 8
133 757 9
134 2851 1
134 180 10
134 584 10
134 3797 4
134 2092 8
135 237 10
135 2797 7
135 3207 10
135 3546 9
135 1225 9
135 282 3
135 1545 2
135 2111 7
136 3439 1
136 2231 5
136 1814 3
136 36 1
136 1513 4
136 1803 10
136 2642 3
137 2749 4
137 3608 7
137 2702 4
137 1331 8
137 3867 6
137 883 3
137 2695 6
137 3879 1
138 2200 10
138 1720 4
138 2801 5
138 1463 1
138 250 2
138 3074 8
138 1938 8
138 115 3
138 1161 5
138 835 10
139 962 7
139 2543 10
139 1828 7
139 1488 7
139 3860 1
140 1497 2
140 413 1
140 3003 7
140 3593 9
140 3711 7
141 1680 2
141 2586 7
141 3164 4
141 1227 1
142 2124 9
142 2302 10
142 541 7
142 1123 7
143 1261 10
143 2938 9
143 3420 3
143 1604 3
143 3772 10
143 3921 10
143 3518 4
144 194 3
144 456 2
144 3212 4
144 3898 5
144 1158 7
144 186 3
144 449 3
144 620 7
144 330 8
145 3579 1
145 1214 2
146 1598 2
146 160 2
146 3430 4
146 2579 5
146 2321 6
146 3585 7
146 1710 5
146 4037 2
146 3234 6
146 3245 5
147 3139 2
147 2571 4
147 536 9
147 358 3
147 378 8
147 383 8
147 1575 5
147 432 5
148 2731 1
148 2298 2
148 2600 1
148 1525 5
148 2324 9
149 2883 4
149 473 4
149 934 3
149 641 7
149 3351 7
149 1225 4
150 1535 3
150 2448 7
150 3853 3
150 1055 1
150 2545 5
151 3337 2
151 1247 1
151 2846 4
151 681 2
151 1495 2
151 3803 4
151 1023 7
151 2533 8
151 338 10
151 3061 5
151 2127 9
152 1459 6
152 99 7
153 3569 7
153 1724 8
153 2816 4
153 351 7
153 2074 7
153 193 5
154 3012 7
154 2078 6
155 3269 10
155 2182 1
155 3485 10
155 685 8
156 2592 5
156 2970 10
156 170 1
156 1314 7
156 1342 7
156 3914 8
157 761 1
157 3823 3
157 2388 1
157 3280 10
157 2773 6
157 3930 3
158 1338 3
158 895 8
158 1576 3
158 1445 8
158 221 8
159 415 6
159 2915 1
159 3712 2
159 2374 6
160 146 2
160 333 10
160 1369 1
161 2909 10
161 1699 4
161 2560 8
161 982 4
162 716 3
163 3109 4
163 2823 5
163 1810 2
163 2582 8
163 3314 3
163 1875 4
163 3040 1
163 3229 7
163 2454 6
163 2690 4
164 2880 4
164 203 2
164 3240 9
164 639 6
164 3636 10
164 4025 5
164 3986 3
165 3159 8
165 2873 1
165 1798 1
165 3724 2
166 1942 6
166 3947 2
166 1767 8
166 2916 3
166 1358 8
166 3242 4
167 1710 2
167 3440 9
167 2958 4
167 427 3
167 1003 1
167 2351 7
167 2339 10
167 3991 2
167 3758 1
168 3229 3
168 2572 5
168 297 4
168 1987 4
168 1033 4
168 2941 10
169 1582 1
169 1775 7
169 1510 1
169 1216 8
169 2154 6
169 2178 5
169 2009 10
169 1887 8
169 1090 10
169 1213 9
170 867 5
170 1604 4
170 3968 3
170 2542 1
170 156 1
170 2056 6
170 2008 4
171 1882 1
171 3508 5
171 3603 10
171 195 7
171 226 7
171 1070 8
171 1523 3
172 3067 10
172 2665 6
172 639 3
172 3369 6
172 3750 7
173 1326 10
173 3019 2
173 261 2
173 3191 7
173 1692 9
174 1403 1
174 3822 8
174 3 7
174 1215 5
174 2335 4
174 52 3
174 2325 8
174 1872 2
174 3000 4
175 399 9
175 962 4
175 3591 5
175 3366 9
176 1774 8
176 2512 10
176 2805 7
176 1001 4
176 3962 8
177 318 9
177 2789 7
177 3299 4
177 1140 10
178 1234 9
178 1301 10
178 2402 2
178 2978 4
178 494 1
178 2857 9
179 2856 8
179 1970 1
179 3511 8
179 2335 6
179 907 5
179 730 5
180 2194 2
180 1785 10
180 134 10
180 4045 9
180 872 5
180 2925 5
180 353 10
181 3690 9
181 3147 9
181 2525 9
181 1087 6
181 2143 9
181 1301 8
181 76 9
181 412 7
181 2266 6
182 2772 1
182 1253 5
183 2786 2
183 186 10
183 354 2
183 3073 6
184 1807 6
184 2720 10
184 496 5
185 1936 9
185 4044 9
185 333 4
185 3080 3
185 2030 5
185 831 8
185 1824 10
185 16 3
185 3371 3
186 3971 6
186 1671 8
186 183 10
186 716 9
186 144 3
186 824 3
186 1499 2
187 288 7
187 379 9
187 2076 3
187 1418 10
188 3787 1
188 549 2
188 1904 1
188 939 4
188 1841 3
188 2637 1
188 1448 7
188 420 1
188 382 6
189 2592 1
189 2591 2
189 1298 2
189 2238 9
189 3599 1
189 2705 9
189 3938 7
189 2700 10
189 2881 10
190 3331 7
190 1130 2
190 3909 10
190 2516 6
191 1695 2
191 196 7
191 3700 1
191 2510 7
191 1838 8
191 3886 8
191 4041 7
191 3904 4
191 3272 8
191 426 3
191 3851 9
192 1539 1
192 2457 2
192 2890 10
192 968 9
192 13 6
192 613 3
193 282 7
193 1110 2
193 2559 7
193 1913 5
193 153 5
193 515 2
193 2026 6
193 2985 8
194 144 3
194 3929 4
194 121 10
194 478 6
194 713 4
194 1204 3
195 2721 9
195 171 7
195 659 5
195 3872 5
195 719 4
195 1651 4
195 2765 3
196 1370 10
196 191 7
196 3359 4
196 3869 4
196 900 6
196 2104 2
196 0 1
196 3350 1
197 2890 9
197 305 7
197 1997 7
197 2885 8
198 2138 9
198 3940 2
198 3704 8
198 1379 9
198 908 3
198 1249 9
198 1286 1
199 1632 1
199 2438 4
199 2000 5
199 1237 3
199 1797 6
199 3789 8
199 111 4
199 668 1
200 3502 2
200 1338 5
200 1617 7
200 4067 4
200 2203 1
200 2924 7
200 2009 2
200 1903 4
200 3918 6
200 1857 3
201 1062 8
201 2212 10
201 1847 4
202 671 8
202 3686 1
202 1788 1
202 1578 10
202 3501 1
202 2554 1
203 164 2
203 2886 10
203 1318 10
204 570 5
204 2649 10
204 2581 4
204 1103 4
205 3748 7
205 2504 5
205 123 4
205 3156 5
205 1737 10
206 1594 3
206 667 3
206 3426 7
207 2117 10
208 1626 9
208 73 3
208 933 7
208 3979 9
209 2199 3
209 1885 2
209 2168 2
209 1276 8
209 2458 7
209 591 3
210 1502 3
210 2454 1
210 471 2
210 2918 1
211 3221 4
211 1135 8
211 3922 4
211 239 6
211 723 6
211 3865 8
211 1145 2
211 2640 7
211 812 1
211 3977 6
211 2318 3
212 558 8
212 1479 7
212 1248 9
212 377 1
212 2986 9
212 3356 2
212 2964 9
213 2967 6
213 3212 9
213 2455 6
213 3254 1
213 933 1
213 3326 3
213 464 10
213 4003 4
213 3246 5
214 2883 6
214 3568 7
214 3578 7
214 3045 4
214 1516 4
214 3131 3
214 2759 2
214 2942 6
215 1211 3
215 3201 1
215 333 1
215 2319 6
215 2033 10
216 3489 6
216 704 5
216 1242 7
216 1327 1
216 1596 6
216 19 3
217 552 6
217 4031 7
217 4060 9
217 3793 7
217 978 3
217 3817 1
217 2194 4
217 3677 6
218 1684 10
218 227 7
218 2985 8
218 2105 6
218 3677 2
218 1486 2
218 3993 5
218 1698 5
218 3903 9
219 2048 4
219 568 10
219 2101 2
219 1272 4
219 1358 10
219 3457 10
220 1460 7
220 3763 3
220 1066 8
220 2459 2
220 1117 5
220 712 6
220 4018 1
221 425 8
221 3698 5
221 3277 2
221 2648 8
221 226 7
221 1201 7
221 158 8
221 503 2
221 1517 10
221 803 9
222 1582 4
222 637 9
222 3550 9
222 2803 7
222 2130 1
222 2199 6
222 1682 10
223 3393 8
223 352 8
223 1107 2
223 1994 8
223 1894 7
223 3787 2
223 2311 9
223 2262 3
224 3517 1
224 3867 9
224 1868 2
224 856 10
224 4029 8
224 2769 5
224 253 1
224 832 4
224 3702 2
224 468 9
225 1984 8
225 2524 1
225 767 4
225 2701 3
225 4086 4
225 660 4
226 171 7
226 221 7
227 218 7
227 2965 2
227 3286 8
227 1200 10
227 3434 4
227 1969 8
227 1625 4
227 501 10
227 1701 9
227 2440 7
228 3201 1
228 1870 8
228 3934 4
228 3252 9
228 2169 2
229 3959 5
229 2629 4
229 2557 10
229 557 9
229 817 3
229 745 9
229 3575 10
229 651 10
230 2591 5
230 2432 1
230 1689 9
230 1173 7
230 1743 5
230 1163 3
230 1320 3
230 79 2
230 1370 2
231 2077 8
231 3964 9
231 1021 1
231 1484 9
232 1551 6
232 3956 3
232 2222 7
232 3843 5
232 347 10
233 841 5
233 3810 1
233 3443 9
234 9 2
234 2063 9
234 17 2
234 3938 3
235 1839 4
235 1233 2
235 2308 1
235 2941 10
236 1598 2
236 1287 1
236 79 3
236 1377 4
236 3143 7
236 3366 2
236 2660 2
236 2225 10
236 2731 3
237 1070 5
237 3581 7
237 135 10
237 1704 7
237 1314 1
237 1309 5
238 3273 8
238 3207 5
238 4037 7
238 1014 2
238 3825 6
238 2835 7
238 3363 4
238 3895 6
238 2554 8
239 1121 9
239 3166 5
239 211 6
239 3249 2
239 1744 10
239 3165 10
240 1191 2
240 1054 10
240 3828 10
240 3761 3
241 2625 4
241 765 8
241 3157 8
241 3575 2
241 3196 8
241 577 10
242 1460 7
242 1447 5
242 2756 6
242 1208 7
242 1100 5
242 857 4
242 1808 7
242 4018 9
242 2670 6
243 3445 10
243 3564 10
243 3854 8
243 3476 10
243 2565 6
243 1536 3
243 3436 9
243 2842 7
244 423 3
244 2912 7
244 271 7
244 1992 6
244 883 5
244 1287 6
244 3277 1
245 3560 9
245 2265 3
245 900 8
245 2009 7
245 2644 3
245 1288 5
245 2997 2
245 329 2
245 2344 4
246 1900 5
246 532 9
247 2821 2
247 3858 7
247 1644 7
248 2114 8
248 848 10
248 2820 6
248 126 9
248 2006 6
248 2471 10
248 3260 2
248 2660 5
249 3745 6
249 1105 9
249 3301 3
249 2592 6
249 3313 1
249 1388 3
250 2828 10
250 138 2
250 3765 6
250 1882 3
250 1552 10
251 2130 8
251 2421 1
251 9 8
251 1084 1
251 1615 8
251 2619 7
251 1831 6
251 3940 9
251 1596 9
252 1127 9
252 1718 1
252 814 5
252 2365 9
252 1654 4
252 279 10
253 3360 9
253 4025 6
253 224 1
253 2529 2
253 2277 10
254 286 3
254 1781 3
254 2429 3
254 98 1
254 1214 4
254 3920 2
254 2300 6
254 1818 10
254 2490 1
255 2674 10
255 2767 4
255 3042 9
255 3007 1
255 3082 6
255 1264 6
255 738 3
255 2078 6
255 3111 6
255 10 3
255 2939 3
255 2420 9
256 3298 6
256 472 10
257 3383 6
257 3041 1
257 557 2
258 2520 5
258 3695 4
258 1487 10
258 3723 3
258 317 10
258 3442 10
258 574 8
259 2151 7
259 3178 1
259 1727 9
259 62 2
259 3282 10
259 564 6
260 1492 6
260 948 3
260 3745 3
260 3866 6
260 749 6
261 1150 2
261 691 4
261 1023 4
261 2960 4
261 173 2
261 1170 5
261 3284 7
261 808 6
261 4088 1
261 2320 6
262 1876 1
262 1171 9
262 3202 5
262 1899 9
262 3775 8
262 1090 6
262 881 1
262 2486 9
262 1102 10
263 3164 2
263 3261 7
263 1200 3
263 3738 10
263 1250 3
263 3947 10
263 1409 3
263 2226 5
263 2599 8
264 1847 3
265 14 1
265 587 8
265 2833 8
265 3511 8
266 2348 5
266 3814 3
266 734 6
266 1469 3
266 3521 6
266 1980 7
267 2075 3
267 675 3
268 2818 3
268 3436 7
268 1169 10
268 3998 8
268 3268 4
268 373 6
268 2090 1
268 1641 5
268 1220 9
268 502 3
268 1103 1
268 1907 6
268 956 4
268 112 10
269 1229 6
269 3587 4
270 3008 10
270 3458 5
270 1991 3
270 3781 9
271 1335 1
271 244 7
271 1054 3
271 1566 1
272 1325 5
272 3153 3
272 4069 10
272 318 1
272 3883 6
273 2088 9
273 446 1
273 2397 2
273 2999 5
273 3668 9
273 2764 8
273 1962 4
274 2531 3
274 348 4
274 2445 2
274 1730 2
274 4070 9
274 3439 9
275 1430 7
275 2819 7
275 2225 4
276 553 2
276 2429 9
276 1763 2
276 503 4
276 2692 7
276 2899 1
276 67 10
276 3106 5
276 2896 9
276 66 2
276 2111 3
276 4061 7
276 1103 8
277 3469 3
277 612 4
277 1922 7
277 300 8
277 3712 10
278 1386 9
278 3626 4
278 2924 3
278 3897 4
278 1149 5
278 2435 6
278 480 7
279 2695 6
279 1772 5
279 1140 8
279 2930 8
279 2593 3
279 252 10
279 574 7
279 648 2
280 321 10
280 3347 1
280 391 7
281 2755 6
281 2834 8
281 3028 8
281 1339 10
281 943 2
282 3139 3
282 193 7
282 3133 6
282 932 8
282 135 3
282 1621 4
283 1837 6
283 409 1
283 3328 9
283 3938 4
283 2062 9
283 3383 5
283 3584 9
284 1646 9
284 3074 3
284 1945 1
284 734 10
284 2558 5
284 2644 4
285 2850 1
285 12 2
285 1033 7
285 1612 8
285 3555 2
285 3520 4
285 1176 4
286 254 3
286 3906 6
287 2661 10
287 489 8
287 3828 10
287 2171 6
287 2611 10
287 1502 7
287 622 5
288 1913 4
288 2033 6
288 187 7
288 1307 8
288 3612 7
289 2677 3
289 1813 6
289 3700 2
289 99 1
290 3300 6
290 3535 7
290 931 1
290 3119 5
291 3010 4
291 78 6
291 2386 7
291 3633 5
291 1706 7
291 647 9
292 669 9
292 3026 4
293 2259 3
293 3716 3
293 1337 5
294 1813 8
294 580 4
294 3163 10
294 2789 5
294 3971 2
294 1466 8
294 1120 2
294 2384 7
294 4079 8
295 1253 4
295 428 5
295 2713 10
295 3247 3
295 1031 1
295 1398 6
295 2114 6
296 3392 3
296 308 4
296 1008 3
296 655 7
297 3483 8
297 3 1
297 418 8
297 2071 4
297 1238 2
297 168 4
297 642 4
297 1031 6
298 915 5
298 742 4
298 2101 2
298 1627 9
298 1593 4
298 419 5
298 1763 9
299 77 6
299 3463 6
299 2740 4
299 4000 2
299 1192 5
299 1959 2
300 3150 8
300 528 8
300 1751 7
300 1639 2
300 2363 7
300 277 8
301 3790 7
301 688 8
301 1667 8
301 1870 1
302 3122 5
302 795 7
302 2150 9
302 61 7
302 44 4
302 1213 7
302 2420 3
303 1355 4
303 430 7
303 1115 3
303 3473 3
303 2992 2
303 2787 9
303 789 6
303 79 8
304 786 6
304 305 4
305 1054 6
305 2507 3
305 197 7
305 1296 1
305 3126 2
305 3274 1
305 2143 3
305 45 1
305 4077 8
305 1909 7
305 304 4
305 2444 5
305 2457 3
305 1388 5
306 4003 3
306 3304 7
306 1671 9
306 2554 6
306 3080 2
306 1004 8
306 1610 9
306 475 9
306 597 9
307 1984 3
307 2096 9
307 3046 4
307 2725 6
307 1141 10
307 3287 10
308 2049 10
308 296 4
308 439 2
308 1424 10
308 1080 9
308 2884 5
309 2767 1
309 1619 3
309 645 3
309 2259 6
309 866 5
309 3559 10
310 2414 9
310 127 4
311 1380 1
311 1180 5
311 2342 9
311 467 2
311 1500 7
311 616 7
311 2511 7
311 1714 9
312 828 3
312 3509 4
312 1002 2
312 1340 7
312 1886 10
313 1203 3
313 2010 2
313 3289 10
313 3963 4
313 992 2
313 1669 6
313 1405 1
313 3342 2
314 1421 7
314 2761 7
314 459 4
314 2007 5
315 2400 5
315 1601 4
315 3057 2
315 1086 9
316 3956 2
316 786 7
316 1401 4
317 1036 2
317 1095 1
317 258 10
317 864 10
317 402 6
317 3880 7
317 3268 2
317 3968 6
318 177 9
318 450 1
318 3520 9
318 272 1
319 474 4
319 2195 8
319 3049 4
319 14 8
320 1920 10
320 964 7
320 2409 10
320 454 5
320 716 1
320 60 2
321 280 10
321 4013 10
321 1825 2
322 1639 10
322 2149 10
322 3730 4
322 1631 4
322 1600 1
322 707 2
322 765 3
322 924 6
323 2011 3
323 3304 3
323 3267 10
323 1280 10
323 2467 3
323 3621 7
323 2970 10
324 3119 8
324 834 1
324 504 7
324 2209 5
324 1593 8
324 2914 1
325 2123 6
325 2951 8
325 3075 4
325 3518 6
326 2102 6
326 1899 9
326 2574 9
326 4077 3
326 1850 7
327 3734 4
327 2330 1
327 2680 3
327 1216 2
327 3915 4
327 3361 5
328 358 3
328 1317 8
328 794 9
328 1513 2
329 2065 4
329 3161 2
329 893 1
329 4062 7
329 2286 7
329 245 2
330 4088 9
330 3214 4
330 4020 1
330 1723 5
330 1462 2
330 2652 6
330 2549 3
330 144 8
330 2646 2
330 685 4
331 3242 3
331 2633 5
331 2625 5
331 2366 5
331 2019 3
332 3369 5
332 1350 7
332 4 3
332 2019 10
332 663 9
333 2373 1
333 160 10
333 185 4
333 215 1
333 1706 3
334 2565 1
334 1158 1
334 78 10
334 2433 5
334 1543 4
334 1704 8
334 3098 8
335 832 7
335 61 7
335 433 7
335 705 2
335 837 3
336 1622 3
336 1025 1
336 4074 2
336 1897 6
336 3598 2
336 2113 2
337 3735 5
337 1622 10
337 3517 5
337 3540 1
337 3656 6
337 1388 8
337 1985 7
338 2284 2
338 1937 1
338 2800 5
338 151 10
339 3823 7
339 2937 10
339 3100 1
339 2566 4
339 1157 4
339 1848 6
340 3122 3
340 2065 10
340 2890 1
340 869 5
340 2450 1
340 634 7
340 661 8
340 726 3
340 3599 1
340 1099 3
340 2725 1
340 1513 1
340 1176 1
340 3474 9
